"PVWatts Hourly PV Performance Data"
"Requested Location","canberra, act, australia"
"Location","Lat, Lng: -35.31, 149.14"
"Latitude (DD)","-35.31"
"Longitude (DD)","149.14"
"Elevation (m)","572"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","35.31"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","8","17","0","11","14","1.4","0.2","9.098","14.239","57.778","16.095"
"4","8","18","0","0","13","1.3","0.2","0","13","0","0"
"4","8","19","0","0","12","1.2","0.2","0","12","0","0"
"4","8","20","0","0","10.7","1","0.2","0","10.7","0","0"
"4","8","21","0","0","9.6","0.9","0.2","0","9.6","0","0"
"4","8","22","0","0","8.8","0.9","0.2","0","8.8","0","0"
"4","8","23","0","0","8.1","0.9","0.2","0","8.1","0","0"
"4","9","0","0","0","7.6","0.9","0.2","0","7.6","0","0"
"4","9","1","0","0","7.1","0.9","0.2","0","7.1","0","0"
"4","9","2","0","0","6.7","1","0.2","0","6.7","0","0"
"4","9","3","0","0","6.5","1","0.2","0","6.5","0","0"
"4","9","4","0","0","6.4","1","0.2","0","6.4","0","0"
"4","9","5","0","0","6.5","1","0.2","0","6.5","0","0"
"4","9","6","0","5","7.9","1.3","0.2","4.127","8.006","22.976","0"
"4","9","7","689","43","10.4","2","0.2","302.624","17.699","2537.351","2407.807"
"4","9","8","857","57","12.5","2.5","0.2","574.414","25.282","5016.593","4799.199"
"4","9","9","929","64","13.5","2.6","0.2","801.185","30.954","6770.229","6490.697"
"4","9","10","962","70","15.2","2.9","0.2","964.673","35.094","7941.084","7620.064"
"4","9","11","980","69","15.7","3.1","0.2","1052.023","36.655","8559.806","8216.862"
"4","9","12","984","68","15.9","3.2","0.2","1060.724","36.683","8625.708","8280.43"
"4","9","13","959","73","15.7","3.3","0.2","982.193","34.652","8088.559","7762.314"
"4","9","14","925","69","15.1","3.3","0.2","829.66","31.14","6991.543","6704.169"
"4","9","15","253","245","14.1","3","0.2","406.918","22.363","3528.459","3363.796"
"4","9","16","177","124","12.5","2.4","0.2","196.225","16.919","1687.233","1587.812"
"4","9","17","0","10","10.7","1.6","0.2","8.269","10.903","49.982","8.575"
"4","9","18","0","0","9.3","1.3","0.2","0","9.3","0","0"
"4","9","19","0","0","8.2","1","0.2","0","8.2","0","0"
"4","9","20","0","0","7.4","0.8","0.2","0","7.4","0","0"
"4","9","21","0","0","6.6","0.7","0.2","0","6.6","0","0"
"4","9","22","0","0","5.9","0.7","0.2","0","5.9","0","0"
"4","9","23","0","0","5.3","0.8","0.2","0","5.3","0","0"
"4","10","0","0","0","4.6","0.9","0.2","0","4.6","0","0"
"4","10","1","0","0","4","1","0.2","0","4","0","0"
"4","10","2","0","0","3.5","0.9","0.2","0","3.5","0","0"
"4","10","3","0","0","3.2","0.8","0.2","0","3.2","0","0"
"4","10","4","0","0","2.9","0.8","0.2","0","2.9","0","0"
"4","10","5","0","0","2.8","0.7","0.2","0","2.8","0","0"
"4","10","6","0","0","3.9","1.1","0.2","0","0","0","0"
"4","10","7","185","102","6.3","1.8","0.2","174.897","10.721","1513.58","1420.312"
"4","10","8","860","57","8.6","2.2","0.2","576.75","22.184","5097.363","4877.108"
"4","10","9","937","64","9.7","2.3","0.2","807.656","28.304","6895.833","6611.851"
"4","10","10","962","74","12.1","2.2","0.2","969.09","34.807","7987.087","7664.437"
"4","10","11","981","76","13.2","2","0.2","1060.488","39.027","8547.844","8205.324"
"4","10","12","979","76","13.9","2","0.2","1064.06","39.812","8546.922","8204.434"
"4","10","13","962","74","14.2","2","0.2","985.087","38.21","8002.098","7678.916"
"4","10","14","928","68","14.1","2","0.2","829.789","34.365","6908.773","6624.332"
"4","10","15","859","59","13.4","1.8","0.2","608.242","28.926","5231.728","5006.711"
"4","10","16","715","45","11.6","1.3","0.2","344.162","21.334","2923.835","2780.596"
"4","10","17","298","17","9.2","0.8","0.2","77.588","11.294","408.145","354.047"
"4","10","18","0","0","7.7","0.8","0.2","0","7.7","0","0"
"4","10","19","0","0","6.8","0.8","0.2","0","6.8","0","0"
"4","10","20","0","0","6","0.8","0.2","0","6","0","0"
"4","10","21","0","0","5.3","0.9","0.2","0","5.3","0","0"
"4","10","22","0","0","4.7","0.9","0.2","0","4.7","0","0"
"4","10","23","0","0","4.2","0.9","0.2","0","4.2","0","0"
"4","11","0","0","0","3.7","0.8","0.2","0","3.7","0","0"
"4","11","1","0","0","3.5","0.8","0.2","0","3.5","0","0"
"4","11","2","0","0","3.3","0.8","0.2","0","3.3","0","0"
"4","11","3","0","0","3.2","0.8","0.2","0","3.2","0","0"
"4","11","4","0","0","3.1","0.8","0.2","0","3.1","0","0"
"4","11","5","0","0","3.2","0.8","0.2","0","3.2","0","0"
"4","11","6","0","0","4.7","1.2","0.2","0","0","0","0"
"4","11","7","77","95","7.6","1.8","0.2","118.863","10.61","1022.436","946.571"
"4","11","8","829","58","10.3","2.2","0.2","560.126","23.493","4925.816","4711.639"
"4","11","9","904","69","11.6","2.4","0.2","787.843","29.408","6700.23","6423.179"
"4","11","10","937","79","14.2","2.2","0.2","951.721","36.501","7795.606","7479.741"
"4","11","11","957","81","15.4","1.9","0.2","1041.926","41.3","8327.109","7992.411"
"4","11","12","954","81","16.3","1.6","0.2","1044.068","43.966","8252.582","7920.525"
"4","11","13","162","436","16.7","1.4","0.2","604.94","33.413","4944.944","4730.089"
"4","11","14","891","77","16.7","1.3","0.2","809.017","39.719","6596.633","6323.253"
"4","11","15","813","68","16.1","1.2","0.2","592.554","33.416","5006.704","4789.66"
"4","11","16","84","112","14.3","0.8","0.2","141.291","18.845","1194.048","1112.103"
"4","11","17","0","12","11.8","0.7","0.2","9.932","12.099","57.504","15.831"
"4","11","18","0","0","10.1","0.8","0.2","0","10.1","0","0"
"4","11","19","0","0","8.9","0.8","0.2","0","8.9","0","0"
"4","11","20","0","0","8.1","0.8","0.2","0","8.1","0","0"
"4","11","21","0","0","7.7","0.8","0.2","0","7.7","0","0"
"4","11","22","0","0","7.5","0.7","0.2","0","7.5","0","0"
"4","11","23","0","0","7.3","0.7","0.2","0","7.3","0","0"
"4","12","0","0","0","7.3","0.5","0.2","0","7.3","0","0"
"4","12","1","0","0","7.5","0.5","0.2","0","7.5","0","0"
"4","12","2","0","0","7.7","0.5","0.2","0","7.7","0","0"
"4","12","3","0","0","7.5","0.6","0.2","0","7.5","0","0"
"4","12","4","0","0","7.2","0.6","0.2","0","7.2","0","0"
"4","12","5","0","0","6.9","0.6","0.2","0","6.9","0","0"
"4","12","6","0","0","7.3","0.7","0.2","0","0","0","0"
"4","12","7","78","94","8.8","0.7","0.2","123.638","12.876","1055.541","978.503"
"4","12","8","833","58","11.5","0.6","0.2","562.974","30.752","4816.782","4606.468"
"4","12","9","919","63","13.1","0.5","0.2","792.847","40.919","6448.639","6180.502"
"4","12","10","937","78","17.1","0.6","0.2","950.41","49.435","7390.831","7089.309"
"4","12","11","952","80","18.4","0.7","0.2","1035.326","52.621","7901.488","7581.871"
"4","12","12","948","81","19.1","0.8","0.2","1037.284","52.466","7919.103","7598.862"
"4","12","13","932","77","19.4","0.8","0.2","958.481","50.26","7421.401","7118.796"
"4","12","14","890","73","19.4","0.8","0.2","802.601","45.292","6401.692","6135.219"
"4","12","15","809","64","18.7","0.7","0.2","584.566","38.131","4849.512","4638.038"
"4","12","16","665","46","16.7","0.6","0.2","323.627","27.658","2673.823","2539.444"
"4","12","17","229","15","14.2","0.7","0.2","63.378","15.934","315.562","264.745"
"4","12","18","0","0","12.6","0.8","0.2","0","12.6","0","0"
"4","12","19","0","0","11.7","0.8","0.2","0","11.7","0","0"
"4","12","20","0","0","11.1","0.8","0.2","0","11.1","0","0"
"4","12","21","0","0","10.9","0.8","0.2","0","10.9","0","0"
"4","12","22","0","0","10.9","0.7","0.2","0","10.9","0","0"
"4","12","23","0","0","10.9","0.7","0.2","0","10.9","0","0"
"4","13","0","0","0","10.7","0.6","0.2","0","10.7","0","0"
"4","13","1","0","0","10.2","0.6","0.2","0","10.2","0","0"
"4","13","2","0","0","9.6","0.6","0.2","0","9.6","0","0"
"4","13","3","0","0","9","0.6","0.2","0","9","0","0"
"4","13","4","0","0","8.5","0.7","0.2","0","8.5","0","0"
"4","13","5","0","0","8.1","0.7","0.2","0","8.1","0","0"
"4","13","6","0","0","8.9","0.8","0.2","0","0","0","0"
"4","13","7","652","41","11.2","1","0.2","290.111","19.973","2409.311","2284.304"
"4","13","8","825","56","14.2","1.3","0.2","556.429","30.089","4773.976","4565.179"
"4","13","9","904","65","15.7","1.6","0.2","783.582","36.536","6487.16","6217.659"
"4","13","10","939","73","18.1","1.8","0.2","946.33","42.15","7585.56","7277.138"
"4","13","11","957","75","19","1.7","0.2","1033.988","45.816","8121.103","7793.704"
"4","13","12","958","76","19.6","1.6","0.2","1040.641","47.181","8124.533","7797.013"
"4","13","13","944","72","19.8","1.5","0.2","962.841","45.917","7593.344","7284.646"
"4","13","14","902","69","19.6","1.3","0.2","806.532","42.554","6508.366","6238.113"
"4","13","15","121","229","18.7","0.9","0.2","301.122","28.152","2530.639","2401.332"
"4","13","16","667","46","16.6","0.7","0.2","323.637","27.254","2675.237","2540.807"
"4","13","17","0","9","14.4","0.7","0.2","7.441","14.623","41.218","0.122"
"4","13","18","0","0","13.3","0.9","0.2","0","13.3","0","0"
"4","13","19","0","0","12.8","0.9","0.2","0","12.8","0","0"
"4","13","20","0","0","12.4","0.9","0.2","0","12.4","0","0"
"4","13","21","0","0","12.1","0.8","0.2","0","12.1","0","0"
"4","13","22","0","0","11.8","0.8","0.2","0","11.8","0","0"
"4","13","23","0","0","11.5","0.7","0.2","0","11.5","0","0"
"4","14","0","0","0","11.3","0.7","0.2","0","11.3","0","0"
"4","14","1","0","0","10.9","0.7","0.2","0","10.9","0","0"
"4","14","2","0","0","10.5","0.8","0.2","0","10.5","0","0"
"4","14","3","0","0","10.2","0.8","0.2","0","10.2","0","0"
"4","14","4","0","0","10","0.8","0.2","0","10","0","0"
"4","14","5","0","0","9.9","0.8","0.2","0","9.9","0","0"
"4","14","6","0","0","10.6","0.7","0.2","0","0","0","0"
"4","14","7","6","58","12.6","0.8","0.2","51.727","14.263","427.398","372.618"
"4","14","8","23","139","14.8","0.9","0.2","135.765","19.059","1150.802","1070.389"
"4","14","9","31","250","15.9","0.9","0.2","250.818","23.744","2104.916","1990.695"
"4","14","10","25","219","17.3","1.3","0.2","228.001","23.744","1892.537","1785.841"
"4","14","11","26","219","17.4","1.4","0.2","230.22","23.75","1904.221","1797.111"
"4","14","12","24","312","17.3","1.4","0.2","305.935","25.736","2528.426","2399.199"
"4","14","13","25","227","17","1.2","0.2","236.425","23.842","1962.374","1853.204"
"4","14","14","24","128","16.4","0.9","0.2","134.609","20.61","1120.174","1040.846"
"4","14","15","19","96","15.5","0.6","0.2","97.43","18.815","815.63","747.094"
"4","14","16","0","45","14.4","0.5","0.2","37.393","15.709","304.364","253.943"
"4","14","17","0","5","13.5","0.6","0.2","4.126","13.627","22.3","0"
"4","14","18","0","0","12.9","0.6","0.2","0","12.9","0","0"
"4","14","19","0","0","12.7","0.6","0.2","0","12.7","0","0"
"4","14","20","0","0","12.6","0.6","0.2","0","12.6","0","0"
"4","14","21","0","0","12.2","0.7","0.2","0","12.2","0","0"
"4","14","22","0","0","11.7","0.7","0.2","0","11.7","0","0"
"4","14","23","0","0","11.5","0.7","0.2","0","11.5","0","0"
"4","15","0","0","0","11.4","0.7","0.2","0","11.4","0","0"
"4","15","1","0","0","11","0.7","0.2","0","11","0","0"
"4","15","2","0","0","10.6","0.7","0.2","0","10.6","0","0"
"4","15","3","0","0","10.2","0.8","0.2","0","10.2","0","0"
"4","15","4","0","0","9.9","0.8","0.2","0","9.9","0","0"
"4","15","5","0","0","9.7","0.8","0.2","0","9.7","0","0"
"4","15","6","0","0","10.6","0.8","0.2","0","0","0","0"
