"PVWatts Hourly PV Performance Data"
"Requested Location","sydney, nsw, australia"
"Location","Lat, Lng: -33.87, 151.22"
"Latitude (DD)","-33.87"
"Longitude (DD)","151.22"
"Elevation (m)","38"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","33.87"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"6","14","7","139","31","14","2.6","0.2","104.702","16.177","760.692","694.102"
"6","14","8","368","76","15","2.7","0.2","314.623","21.751","2754.831","2617.581"
"6","14","9","447","115","15.6","2.8","0.2","480.83","25.735","4175.745","3988.146"
"6","14","10","670","102","16.9","2.6","0.2","719.982","32.608","6080.901","5825.795"
"6","14","11","593","133","17.5","2.3","0.2","725.105","34.204","6057.915","5803.624"
"6","14","12","674","117","17.9","2","0.2","777.527","36.906","6433.766","6166.156"
"6","14","13","476","144","18.2","1.8","0.2","585.243","33.115","4921.582","4707.555"
"6","14","14","442","112","18.2","1.6","0.2","462.426","30.526","3943.8","3764.42"
"6","14","15","409","65","17.9","1.4","0.2","316.476","26.719","2712.942","2577.176"
"6","14","16","155","23","17.7","1.5","0.2","93.418","19.883","505.639","448.087"
"6","14","17","0","0","17.6","1.6","0.2","0","17.6","0","0"
"6","14","18","0","0","17.2","1.9","0.2","0","17.2","0","0"
"6","14","19","0","0","16.5","2.5","0.2","0","16.5","0","0"
"6","14","20","0","0","15.7","3.1","0.2","0","15.7","0","0"
"6","14","21","0","0","14.9","3.5","0.2","0","14.9","0","0"
"6","14","22","0","0","14.4","3.6","0.2","0","14.4","0","0"
"6","14","23","0","0","13.9","3.5","0.2","0","13.9","0","0"
"6","15","0","0","0","13.4","3.3","0.2","0","13.4","0","0"
"6","15","1","0","0","13","3","0.2","0","13","0","0"
"6","15","2","0","0","12.6","2.8","0.2","0","12.6","0","0"
"6","15","3","0","0","12.3","2.6","0.2","0","12.3","0","0"
"6","15","4","0","0","12.1","2.5","0.2","0","12.1","0","0"
"6","15","5","0","0","11.9","2.5","0.2","0","11.9","0","0"
"6","15","6","0","0","12","2.4","0.2","0","0","0","0"
"6","15","7","304","28","12.8","2.4","0.2","163.782","16.315","1190.34","1108.526"
"6","15","8","653","50","14.3","2.4","0.2","450.635","24.522","3946.772","3767.287"
"6","15","9","772","61","15","2.4","0.2","663.046","30.039","5701.544","5459.88"
"6","15","10","833","64","17.1","2.1","0.2","802.41","36.353","6689.759","6413.079"
"6","15","11","848","69","18","2","0.2","870.139","39.281","7140.658","6848.001"
"6","15","12","832","73","18.5","2","0.2","856.139","39.44","7023.608","6735.098"
"6","15","13","783","76","18.5","2.1","0.2","770.04","36.977","6406.649","6140"
"6","15","14","410","102","18.3","2.3","0.2","427.874","28.182","3678.271","3508.3"
"6","15","15","562","54","17.7","2.3","0.2","388.205","26.666","3350.828","3192.459"
"6","15","16","108","20","17","2.3","0.2","72.693","18.443","394.208","340.604"
"6","15","17","0","0","16.5","2.5","0.2","0","16.5","0","0"
"6","15","18","0","0","16.4","2.6","0.2","0","16.4","0","0"
"6","15","19","0","0","16.4","2.7","0.2","0","16.4","0","0"
"6","15","20","0","0","16.4","2.7","0.2","0","16.4","0","0"
"6","15","21","0","0","16.3","2.7","0.2","0","16.3","0","0"
"6","15","22","0","0","16.1","2.7","0.2","0","16.1","0","0"
"6","15","23","0","0","16","2.7","0.2","0","16","0","0"
"6","16","0","0","0","15.8","2.6","0.2","0","15.8","0","0"
"6","16","1","0","0","15.8","2.5","0.2","0","15.8","0","0"
"6","16","2","0","0","15.6","2.5","0.2","0","15.6","0","0"
"6","16","3","0","0","15.4","2.4","0.2","0","15.4","0","0"
"6","16","4","0","0","15.2","2.3","0.2","0","15.2","0","0"
"6","16","5","0","0","15.2","2.3","0.2","0","15.2","0","0"
"6","16","6","0","0","15.4","2.4","0.2","0","0","0","0"
"6","16","7","19","10","15.9","2.5","0.2","17.145","16.261","113.358","69.706"
"6","16","8","3","53","16.4","2.8","0.2","46.347","17.373","378.81","325.752"
"6","16","9","63","78","16.6","3","0.2","126.473","19.171","1077.542","999.725"
"6","16","10","3","96","17.3","2.8","0.2","84.415","19.068","697.396","633.048"
"6","16","11","1","84","17.4","2.7","0.2","71.828","18.93","587.422","526.972"
"6","16","12","0","90","17.3","2.8","0.2","76.098","18.892","623.926","562.182"
"6","16","13","6","143","17.2","2.9","0.2","132.354","19.926","1110.109","1031.138"
"6","16","14","20","117","17","3","0.2","119.098","19.417","1005.771","930.497"
"6","16","15","4","77","16.7","3.1","0.2","72.36","18.142","599.208","538.34"
"6","16","16","0","16","16.3","3.1","0.2","13.43","16.535","70.096","27.977"
"6","16","17","0","0","16","3.2","0.2","0","16","0","0"
"6","16","18","0","0","15.9","3.2","0.2","0","15.9","0","0"
"6","16","19","0","0","15.9","3.3","0.2","0","15.9","0","0"
"6","16","20","0","0","15.8","3.4","0.2","0","15.8","0","0"
"6","16","21","0","0","15.7","3.4","0.2","0","15.7","0","0"
"6","16","22","0","0","15.6","3.5","0.2","0","15.6","0","0"
"6","16","23","0","0","15.6","3.6","0.2","0","15.6","0","0"
"6","17","0","0","0","15.6","3.7","0.2","0","15.6","0","0"
"6","17","1","0","0","15.4","3.8","0.2","0","15.4","0","0"
"6","17","2","0","0","15.3","4.1","0.2","0","15.3","0","0"
"6","17","3","0","0","15.1","4.4","0.2","0","15.1","0","0"
"6","17","4","0","0","15","4.7","0.2","0","15","0","0"
"6","17","5","0","0","14.9","4.9","0.2","0","14.9","0","0"
"6","17","6","0","0","14.9","4.9","0.2","0","0","0","0"
"6","17","7","44","29","15.1","4.8","0.2","51.89","15.868","360.037","307.643"
"6","17","8","181","91","15.4","4.7","0.2","213.137","18.772","1858.646","1753.152"
"6","17","9","106","144","15.6","4.6","0.2","233.052","19.331","2023.84","1912.491"
"6","17","10","54","180","16.3","4.9","0.2","224.073","19.741","1921.5","1813.778"
"6","17","11","27","116","16.8","5","0.2","132.304","18.804","1114.142","1035.028"
"6","17","12","26","196","17.1","5","0.2","203.069","20.175","1723.304","1622.605"
"6","17","13","94","171","17.1","5","0.2","261.655","21.071","2249.709","2130.357"
"6","17","14","0","28","16.9","5","0.2","23.513","17.257","186.327","140.089"
"6","17","15","285","58","16.6","4.8","0.2","236.633","20.297","2061.548","1948.864"
"6","17","16","0","12","16.3","4.6","0.2","10.057","16.441","52.126","10.643"
"6","17","17","0","0","16.2","4.5","0.2","0","16.2","0","0"
"6","17","18","0","0","16.2","4.2","0.2","0","16.2","0","0"
"6","17","19","0","0","16","3.9","0.2","0","16","0","0"
"6","17","20","0","0","15.9","3.6","0.2","0","15.9","0","0"
"6","17","21","0","0","15.9","3.3","0.2","0","15.9","0","0"
"6","17","22","0","0","15.9","3.1","0.2","0","15.9","0","0"
"6","17","23","0","0","15.8","2.9","0.2","0","15.8","0","0"
"6","18","0","0","0","15.7","2.7","0.2","0","15.7","0","0"
"6","18","1","0","0","15.7","2.5","0.2","0","15.7","0","0"
"6","18","2","0","0","15.6","2.3","0.2","0","15.6","0","0"
"6","18","3","0","0","15.5","2.2","0.2","0","15.5","0","0"
"6","18","4","0","0","15.4","2.1","0.2","0","15.4","0","0"
"6","18","5","0","0","15.3","2","0.2","0","15.3","0","0"
"6","18","6","0","0","15.3","1.8","0.2","0","0","0","0"
"6","18","7","0","7","15.5","1.5","0.2","5.854","15.651","36.773","0"
"6","18","8","97","24","15.8","1.4","0.2","90.629","18.326","770.54","703.601"
"6","18","9","77","124","15.9","1.4","0.2","188.19","21.133","1610.642","1513.935"
"6","18","10","266","190","16.6","1.9","0.2","447.825","27.763","3813.895","3639.118"
"6","18","11","252","215","17.1","2.1","0.2","479.17","28.557","4055.292","3871.961"
"6","18","12","80","211","17.4","2.1","0.2","283.716","24.174","2402.487","2277.722"
"6","18","13","23","153","17.6","2.2","0.2","167.388","21.519","1409.805","1320.214"
"6","18","14","242","139","17.5","2.2","0.2","336.38","25.411","2896.503","2754.233"
