"PVWatts Hourly PV Performance Data"
"Requested Location","perth, wa, australia"
"Location","Lat, Lng: -31.95, 115.86"
"Latitude (DD)","-31.95"
"Longitude (DD)","115.86"
"Elevation (m)","11"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","31.95"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","9","0","0","0","22.7","7.1","0.2","0","22.7","0","0"
"1","9","1","0","0","22.6","6.6","0.2","0","22.6","0","0"
"1","9","2","0","0","22.5","6.2","0.2","0","22.5","0","0"
"1","9","3","0","0","22.4","6.5","0.2","0","22.4","0","0"
"1","9","4","0","0","22.3","6.9","0.2","0","22.3","0","0"
"1","9","5","46","11","22.4","7.3","0.2","8.848","22.487","39.732","0"
"1","9","6","484","62","23","7.4","0.2","59.241","23.647","383.295","330.077"
"1","9","7","693","93","23.3","7.3","0.2","266.728","26.348","2023.318","1911.988"
"1","9","8","801","114","24.5","7.1","0.2","501.1","30.506","4186.568","3998.585"
"1","9","9","867","127","25.3","7.2","0.2","713.63","33.762","5883.842","5635.718"
"1","9","10","908","137","25.9","7.5","0.2","877.912","35.994","7122.73","6830.707"
"1","9","11","928","144","26.3","7.9","0.2","980.168","37.143","7876.987","7558.238"
"1","9","12","934","146","26.3","8.3","0.2","1009.908","37.072","8106.185","7779.315"
"1","9","13","925","145","25.9","8.6","0.2","966.418","35.944","7808.638","7492.311"
"1","9","14","909","136","25.3","8.8","0.2","854.761","34.042","6997.389","6709.808"
"1","9","15","868","127","24.5","8.8","0.2","682.25","31.491","5684.724","5443.656"
"1","9","16","801","111","23.6","8.7","0.2","461.87","28.362","3847.935","3671.952"
"1","9","17","680","89","22.7","8.6","0.2","224.38","24.943","1624.68","1527.475"
"1","9","18","436","56","21.8","8.2","0.2","41.373","22.246","323.688","272.583"
"1","9","19","0","0","21.1","8","0.2","0","0","0","0"
"1","9","20","0","0","20.7","7.8","0.2","0","20.7","0","0"
"1","9","21","0","0","20.4","7.6","0.2","0","20.4","0","0"
"1","9","22","0","0","20.1","7.5","0.2","0","20.1","0","0"
"1","9","23","0","0","19.9","7.4","0.2","0","19.9","0","0"
"1","10","0","0","0","19.6","7.2","0.2","0","19.6","0","0"
"1","10","1","0","0","19.3","7.1","0.2","0","19.3","0","0"
"1","10","2","0","0","19.1","6.9","0.2","0","19.1","0","0"
"1","10","3","0","0","18.9","6.6","0.2","0","18.9","0","0"
"1","10","4","0","0","18.9","6.4","0.2","0","18.9","0","0"
"1","10","5","69","13","19.2","6.5","0.2","9.627","19.303","44.154","2.954"
"1","10","6","580","57","20.1","6.5","0.2","56.745","20.768","354.616","302.415"
"1","10","7","805","77","20.7","6.4","0.2","284.04","24.247","2154.536","2038.556"
"1","10","8","920","88","22.7","5.8","0.2","535.6","30.075","4489.303","4290.593"
"1","10","9","982","95","23.9","5.6","0.2","760.263","34.607","6254.801","5993.533"
"1","10","10","1016","99","25","5.7","0.2","932.983","37.965","7513.22","7207.361"
"1","10","11","1015","116","25.6","6.2","0.2","1035.521","39.189","8251.951","7919.916"
"1","10","12","1021","116","25.9","6.7","0.2","1066.407","39.165","8485.334","8145.029"
"1","10","13","1016","113","25.9","7.2","0.2","1021.467","37.984","8185.45","7855.772"
"1","10","14","1000","106","25.4","7.5","0.2","902.438","35.781","7339.362","7039.663"
"1","10","15","963","99","24.7","7.6","0.2","718.324","32.901","5958.91","5708.126"
"1","10","16","897","89","23.8","7.7","0.2","487.531","29.3","4052.645","3869.408"
"1","10","17","779","74","22.9","7.6","0.2","237.145","25.485","1695.309","1595.602"
"1","10","18","529","49","21.9","7.3","0.2","35.358","22.314","274.391","225.033"
"1","10","19","0","0","21.1","7.2","0.2","0","0","0","0"
"1","10","20","0","0","20.8","7.3","0.2","0","20.8","0","0"
"1","10","21","0","0","20.7","7.5","0.2","0","20.7","0","0"
"1","10","22","0","0","20.5","7.7","0.2","0","20.5","0","0"
"1","10","23","0","0","20.1","7.7","0.2","0","20.1","0","0"
"1","11","0","0","0","19.6","7.6","0.2","0","19.6","0","0"
"1","11","1","0","0","19","7.2","0.2","0","19","0","0"
"1","11","2","0","0","18.7","6.5","0.2","0","18.7","0","0"
"1","11","3","0","0","18.4","6","0.2","0","18.4","0","0"
"1","11","4","0","0","18.3","5.9","0.2","0","18.3","0","0"
"1","11","5","65","11","18.6","6.3","0.2","8.117","18.689","37.016","0"
"1","11","6","562","56","19.7","6.5","0.2","54.546","20.345","345.235","293.366"
"1","11","7","774","79","20.4","6.5","0.2","276.56","23.818","2101.439","1987.341"
"1","11","8","883","92","23","5.7","0.2","520.293","30.247","4355.522","4161.553"
"1","11","9","943","100","24.7","5.2","0.2","737.969","35.604","6047.481","5793.559"
"1","11","10","979","106","26.2","4.8","0.2","909.053","40.301","7254.449","6957.759"
