"PVWatts Hourly PV Performance Data"
"Requested Location","melbourne, vic, australia"
"Location","Lat, Lng: -37.83, 144.98"
"Latitude (DD)","-37.83"
"Longitude (DD)","144.98"
"Elevation (m)","22"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","37.83"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","5","18","449","69","25","2.2","0.2","49.144","26.15","384.846","331.573"
"1","5","19","122","16","22.9","2","0.2","11.629","23.138","53.053","11.538"
"1","5","20","0","0","21.6","1.8","0.2","0","21.6","0","0"
"1","5","21","0","0","20.9","1.5","0.2","0","20.9","0","0"
"1","5","22","0","0","20.5","1.3","0.2","0","20.5","0","0"
"1","5","23","0","0","20.3","1.3","0.2","0","20.3","0","0"
"1","6","0","0","0","20.2","1.6","0.2","0","20.2","0","0"
"1","6","1","0","0","20.3","2","0.2","0","20.3","0","0"
"1","6","2","0","0","20.5","2.5","0.2","0","20.5","0","0"
"1","6","3","0","0","20.8","3.1","0.2","0","20.8","0","0"
"1","6","4","0","0","21.2","3.7","0.2","0","21.2","0","0"
"1","6","5","205","26","22.5","4.3","0.2","18.91","22.775","96.934","53.864"
"1","6","6","596","63","24.8","4.6","0.2","55.188","25.632","359.278","306.912"
"1","6","7","785","80","27.9","4.7","0.2","274.224","32.078","1998.796","1888.335"
"1","6","8","887","91","31.4","5.3","0.2","515.62","38.926","4159.829","3972.794"
"1","6","9","946","100","33","5.8","0.2","735.081","43.116","5847.059","5600.239"
"1","6","10","984","105","35.3","6.2","0.2","908.636","47.238","7054.444","6764.842"
"1","6","11","1005","108","36.4","6.2","0.2","1018.008","49.762","7781.187","7465.833"
"1","6","12","1010","109","37.2","6.2","0.2","1050.903","50.99","7978.453","7656.109"
"1","6","13","1000","110","37.7","6","0.2","1006.727","51.211","7652.153","7341.371"
"1","6","14","974","107","37.8","5.7","0.2","886.022","50.116","6803.016","6522.322"
"1","6","15","922","106","37.6","5.1","0.2","702.273","48.109","5476.568","5242.875"
"1","6","16","819","110","35.8","4.8","0.2","474.93","43.165","3733.341","3561.418"
"1","6","17","452","123","31.2","5.5","0.2","202.131","33.999","1466.648","1375.043"
"1","6","18","141","65","25.8","5.3","0.2","46.59","26.48","363.704","311.181"
"1","6","19","32","15","22.5","3.9","0.2","12.048","22.678","55.234","13.641"
"1","6","20","0","0","20.8","2.8","0.2","0","20.8","0","0"
"1","6","21","0","0","19.8","2.2","0.2","0","19.8","0","0"
"1","6","22","0","0","19.1","2.2","0.2","0","19.1","0","0"
"1","6","23","0","0","18.3","2","0.2","0","18.3","0","0"
"1","7","0","0","0","17.6","1.4","0.2","0","17.6","0","0"
"1","7","1","0","0","17.1","1.4","0.2","0","17.1","0","0"
"1","7","2","0","0","16.7","1.7","0.2","0","16.7","0","0"
"1","7","3","0","0","16.5","2","0.2","0","16.5","0","0"
"1","7","4","0","0","16.5","2.4","0.2","0","16.5","0","0"
"1","7","5","31","13","17.1","2.9","0.2","10.078","17.275","47.386","6.072"
"1","7","6","294","54","18.1","3.2","0.2","42.115","18.901","304.186","253.772"
"1","7","7","0","83","19.1","3.3","0.2","67.57","20.403","551.852","492.662"
"1","7","8","22","186","20.1","3.3","0.2","164.023","23.254","1354.522","1266.89"
"1","7","9","12","198","20.5","3.3","0.2","170.738","23.774","1395.14","1306.069"
"1","7","10","18","294","21.9","3.5","0.2","258.915","26.702","2105.905","1991.648"
"1","7","11","21","327","22.6","3.8","0.2","292.548","27.78","2369.338","2245.748"
"1","7","12","22","346","23","3.9","0.2","310.887","28.422","2512.945","2384.266"
"1","7","13","22","273","23","3.8","0.2","254.783","27.512","2058.751","1946.165"
"1","7","14","5","146","22.8","3.4","0.2","124.154","25.139","990.368","915.64"
"1","7","15","165","367","22.4","3","0.2","422.149","30.918","3461.054","3298.779"
