"PVWatts Hourly PV Performance Data"
"Requested Location","darwin australia"
"Location","Lat, Lng: -12.47, 130.86"
"Latitude (DD)","-12.47"
"Longitude (DD)","130.86"
"Elevation (m)","2"
"DC System Size (kW)","7"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","12.47"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","16","2","0","0","23.6","1.2","0.2","0","23.6","0","0"
"7","16","3","0","0","23.3","1.4","0.2","0","23.3","0","0"
"7","16","4","0","0","22.9","1.6","0.2","0","22.9","0","0"
"7","16","5","0","0","22.7","1.7","0.2","0","22.7","0","0"
"7","16","6","0","0","23.2","2.1","0.2","0","0","0","0"
"7","16","7","387","54","24.5","2.9","0.2","168.504","27.882","880.241","821.306"
"7","16","8","637","84","25.2","3.3","0.2","410.032","33.141","2404.355","2291.414"
"7","16","9","757","98","27.4","3.6","0.2","625.859","38.946","3583.254","3428.54"
"7","16","10","823","104","28.8","3.6","0.2","790.37","43.347","4408.458","4224.504"
"7","16","11","855","106","30","3.2","0.2","891.466","47.454","4861.897","4661.876"
"7","16","12","863","106","30.9","2.6","0.2","919.025","50.835","4934.324","4731.737"
"7","16","13","852","104","31.5","2","0.2","873.008","52.749","4661.975","4469.038"
"7","16","14","819","98","31.9","1.6","0.2","755.4","51.938","4074.284","3902.171"
"7","16","15","737","94","31.7","1.2","0.2","575.445","48.481","3174.505","3034.275"
"7","16","16","603","76","30.8","1","0.2","352.054","41.56","1961.623","1864.37"
"7","16","17","15","45","29.2","1.3","0.2","49.248","30.576","250.322","213.707"
"7","16","18","0","0","27.7","1.8","0.2","0","0","0","0"
"7","16","19","0","0","26.7","2","0.2","0","26.7","0","0"
"7","16","20","0","0","26","1.9","0.2","0","26","0","0"
"7","16","21","0","0","25.3","1.8","0.2","0","25.3","0","0"
"7","16","22","0","0","24.8","1.7","0.2","0","24.8","0","0"
"7","16","23","0","0","24.3","1.4","0.2","0","24.3","0","0"
"7","17","0","0","0","24","1.3","0.2","0","24","0","0"
"7","17","1","0","0","23.7","1.3","0.2","0","23.7","0","0"
"7","17","2","0","0","23.5","1.3","0.2","0","23.5","0","0"
"7","17","3","0","0","23.3","1.3","0.2","0","23.3","0","0"
"7","17","4","0","0","23","1.5","0.2","0","23","0","0"
"7","17","5","0","0","22.6","2","0.2","0","22.6","0","0"
"7","17","6","0","0","23","3.2","0.2","0","0","0","0"
"7","17","7","437","50","24.5","4.6","0.2","177.946","27.261","928.491","867.846"
"7","17","8","675","75","25.4","5.3","0.2","419.164","31.549","2476.267","2360.778"
"7","17","9","785","88","28.4","7","0.2","634.562","36.104","3676.612","3518.59"
"7","17","10","841","96","29.9","7.4","0.2","797.275","39.183","4523.182","4335.163"
"7","17","11","865","100","31.1","7.3","0.2","894.96","41.608","4999.137","4794.253"
"7","17","12","875","98","31.7","6.7","0.2","922.624","43.203","5112.704","4903.795"
"7","17","13","856","98","32","5.9","0.2","871.13","43.85","4827.776","4628.964"
"7","17","14","817","95","32","5.2","0.2","751.479","43.119","4204.582","4027.852"
"7","17","15","747","86","31.7","4.6","0.2","573.977","40.892","3268.656","3125.09"
"7","17","16","615","71","30.9","3.7","0.2","352.418","37.293","1999.517","1900.922"
"7","17","17","317","39","29.5","2.7","0.2","114.678","31.824","534.649","487.96"
"7","17","18","0","0","28.4","2.2","0.2","0","0","0","0"
"7","17","19","0","0","27.8","2.4","0.2","0","27.8","0","0"
"7","17","20","0","0","27.2","2.8","0.2","0","27.2","0","0"
"7","17","21","0","0","26.6","3.3","0.2","0","26.6","0","0"
"7","17","22","0","0","25.7","3.6","0.2","0","25.7","0","0"
"7","17","23","0","0","24.9","3.8","0.2","0","24.9","0","0"
"7","18","0","0","0","24.3","4.3","0.2","0","24.3","0","0"
"7","18","1","0","0","23.7","4.9","0.2","0","23.7","0","0"
"7","18","2","0","0","23.2","5.3","0.2","0","23.2","0","0"
